Cities,SevenT,EightT,NineT,TenT,ElevenT,TwelveT,ThirteenT,FourteenT,FifteenT,SixteenT,SeventeenT,EighteenT,NineteenT,TwentyT,TwentyoneT,TwentytwoT,TwentythreeT,TwentyfourT,TwentyfiveT,TwentysixT,TwentysevenT,TwentyeightT,TwentynineT,OneO,TwoO,ThreeO,SixT
East Azerbaijan ,,2,,,12,12,,55,65,75,77,107,129,146,175,182,279,338,374,409,484,571,629,684,756,813,0
West Azerbaijan,,1,,,1,5,,5,10,11,33,40,69,73,100,119,144,175,193,224,258,300,326,353,367,395,0
Ardabil,1,6,,,10,10,,12,26,40,41,50,72,91,92,106,121,154,154,184,203,213,229,264,270,289,0
Esfahan,2,10,,,45,68,,120,238,388,484,564,601,618,788,792,901,1057,1183,1301,1376,1538,1646,1791,1892,1979,0
Alborz,3,5,,,47,57,,112,173,302,305,307,307,339,384,458,464,598,665,714,830,906,967,1062,1117,1177,0
Ilam,,,,,2,4,,11,11,13,15,15,31,56,62,69,77,83,101,103,110,120,128,148,166,183,0
Bousherhr,,,,,,,,,3,5,8,10,11,18,18,21,21,28,34,38,42,46,54,55,55,55,0
Tehran,26,64,,,350,575,,1296,1352,1413,1539,1805,1945,2114,2370,2673,2976,3323,3574,3774,4047,4260,4397,4617,4849,5098,0
Chaharmahal,,,,,,,,1,9,14,16,21,26,37,38,49,49,49,49,52,54,58,61,64,66,68,0
South Khorasan,,,,,3,6,,6,15,18,18,44,37,51,66,78,78,82,100,107,119,140,145,163,163,178,0
Khorasan Razavi,1,2,,,19,25,,36,89,89,135,154,183,222,256,285,395,425,568,568,631,661,711,759,816,858,0
North Khorasan,,,,,,,,1,3,15,23,24,34,34,45,45,45,46,52,97,100,100,121,138,139,165,0
Khozestan,3,3,,,19,31,,62,63,63,64,69,73,110,127,158,173,221,253,306,331,359,381,391,422,444,110
Zanjan,,,,,,,,8,15,50,52,53,68,79,101,118,138,169,201,216,241,261,287,331,366,394,0
Semnan,2,4,,,13,13,,38,60,114,138,175,220,221,284,324,362,409,450,484,517,577,593,645,645,645,0
Sistan&Balochestan,2,2,,,4,5,,14,19,21,34,34,34,40,44,50,52,54,60,71,82,88,102,114,119,134,0
Fars,3,3,,,19,27,,49,68,81,95,104,133,151,170,199,232,243,252,295,326,386,407,457,479,505,0
Qazvin,,,,,8,26,,80,111,176,178,207,247,257,284,326,338,385,407,447,473,526,573,581,640,669,0
Qom,63,72,,,139,201,,354,386,523,668,685,612,751,804,846,888,920,1004,1023,1052,1074,1105,1141,1161,1178,0
Kordestan,,1,,,8,8,,12,18,42,44,63,66,78,84,93,102,107,134,165,167,189,200,215,222,238,0
Kerman,,,,,2,4,,18,18,25,40,41,36,40,58,65,77,77,84,97,116,127,141,153,161,169,0
Kermanshah,2,3,,,5,6,,22,22,27,31,33,44,51,59,79,94,102,115,136,146,152,158,163,168,175,0
kohgiluyeh&boyer-ahmad,1,2,,,2,2,,2,2,6,6,9,9,11,11,26,26,26,27,32,32,45,60,61,73,73,0
Golestan,,,,,24,24,,33,37,104,162,175,175,179,188,213,234,234,259,301,331,351,360,375,381,391,0
Gilan,17,40,,,110,163,,253,333,424,494,496,524,524,529,613,684,797,840,858,903,924,997,1096,1153,1191,0
Lorestan,1,4,,,12,12,,19,30,80,107,144,151,176,185,210,235,237,289,289,324,363,400,409,443,476,0
Mazandaran,4,11,,,43,55,,71,121,301,606,620,633,886,918,997,1189,1206,1278,1374,1433,1494,1552,1636,1664,1700,0
Markazi,5,5,,,67,85,,149,180,228,265,335,389,416,447,535,583,698,698,712,759,782,829,846,846,882,0
Hormozgan,2,2,,,5,11,,11,13,19,30,35,52,69,79,79,83,83,90,106,112,124,129,146,146,148,0
Hamedan,1,2,,,5,5,,10,16,23,34,60,60,77,84,96,106,113,124,131,142,155,175,197,224,243,0
Yazd,,1,,,5,6,,7,7,57,81,87,90,127,150,171,217,290,326,377,426,471,540,589,641,725,0
